record_id,source,source_type,date,rating,title,text,source_url,engagement,app_version,language,dataset_type,text_length
GP-D-d4317f2d-a510-40c3-ab79-dbf0d67f6e99,Google Play,App review,2026-04-21,1,,"The customer PAYS for an item -> Receives an EMPTY box -> The support team says; ""I understand your point of view. If I were in your position, I would feel the same, but trust me, it is not possible from our end to cater to this request, as we have confirmed from the delivery team that all items have been delivered to you.""",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=d4317f2d-a510-40c3-ab79-dbf0d67f6e99,29,17.89.1,en,Detailed review export,325
GP-D-eee844b3-b44f-44fa-afb1-45fda332bcbe,Google Play,App review,2026-07-30,1,,"Terrible experience! Placed an order at 11:06 PM, only for them to cancel it at 11:50 PM stating they couldn't complete it. This is completely ridiculous. If an order cannot be fulfilled, they should have the basic courtesy to inform the customer within 15 minutes instead of wasting nearly an hour. What were they even doing for 44 minutes? Completely unreliable service!",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=eee844b3-b44f-44fa-afb1-45fda332bcbe,0,18.13.0,en,Detailed review export,372
GP-D-05d3b895-261c-46b3-ac68-572e9da63a09,Google Play,App review,2026-07-30,1,,"Terrible interface! The app is really slow and the cart option doesn't expand up once you click on it. If you have added something in the cart, you need to spend 5 to 10 minutes looking for an option to open the cart again. App is really not user friendly! Update: Issue is with the application, not the order or service. Thanks!",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=05d3b895-261c-46b3-ac68-572e9da63a09,1,18.13.0,en,Detailed review export,329
GP-D-57d0d01e-7257-4805-941d-884fb78a5ccf,Google Play,App review,2026-07-24,1,,"This app is absolutely rubbish... not a single order of theirs reaches home in good condition. Sometimes the packaging is torn, sometimes the items are dirty, sometimes they are stuck to the packaging, and sometimes they even smell bad; the truth is, they just can't handle it. They fail to provide the peace of mind one gets from personally checking and buying items at a local store.",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=57d0d01e-7257-4805-941d-884fb78a5ccf,1,18.9.3,en,Detailed review export,385
GP-D-c196bf27-718e-4a1d-8d6a-ff5c6ef49753,Google Play,App review,2026-07-30,5,,"I recently required several grocery items and gifts for my loved ones. After downloading three apps, I found Blinkit to be the most useful and reliable option, thanks to its extensive product range, competitive pricing, and efficient delivery services. I placed three orders within two days to fulfill all my needs and was highly satisfied with the experience. I wholeheartedly recommend Blinkit as the premier shopping app for grocery essentials.",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=c196bf27-718e-4a1d-8d6a-ff5c6ef49753,1,18.13.0,en,Detailed review export,447
GP-D-dbd5a764-0e9e-414e-8990-49cf0e7d8228,Google Play,App review,2026-07-24,1,,"Very disappointing. The prices are much higher than local stores, and the platform keeps adding extra charges that make orders unnecessarily expensive. The so-called ""quick delivery"" isn't always quick, and the overall value for money is poor. Needs better pricing, transparency, and more consistent service.",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=dbd5a764-0e9e-414e-8990-49cf0e7d8228,3,18.9.3,en,Detailed review export,308
GP-D-b45857cb-5181-4ede-8e0a-9aea7c2ede19,Google Play,App review,2026-07-27,4,,"pretty good app for emergency supplies and cravings, but i gotta pay a lot for delivery charges sometimes like maybe even a 100 rupees if it's raining but otherwise, it has good service. I've faced no difficulties till date, almost been a year now. App layout is good and easy to understand, no complications at all. I'd just suggest a little something - pls don't make the delivery partners deliver under 10 mins, they rush a lot for delivering that way and I've seen a few getting into accidents.",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=b45857cb-5181-4ede-8e0a-9aea7c2ede19,2,18.9.3,en,Detailed review export,498
GP-D-e5afd884-b7fb-4800-8ed8-f562f6767410,Google Play,App review,2026-07-26,1,,"Really, I had a very bad experience with the Blinkit team today. Today, I ordered one book on the Blinkit app. By mistake, I selected a quantity of two instead of one. When I asked the delivery partner to take one book back, he told me to contact the support team. After waiting for 30 minutes, I contacted the support team, but they told me that the book could not be returned. We don't have policy to return the item....",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=e5afd884-b7fb-4800-8ed8-f562f6767410,0,18.13.0,en,Detailed review export,422
GP-D-b4c9decb-b70b-4376-844b-c34c49649708,Google Play,App review,2026-07-30,1,,"Extremely disappointed with this app. Since yesterday, every time I try to place an order, it shows ""Currently unavailable. We can't accept your order right now due to high demand."" If you can't handle the demand, don't let customers spend time adding products to their cart. This is a terrible user experience. There is no proper explanation, no estimated time, and no solution provided. Please fix your servers or stop showing unavailable services. Very frustrating and a complete waste of time.",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=b4c9decb-b70b-4376-844b-c34c49649708,2,18.13.0,en,Detailed review export,497
GP-D-f6301479-80cc-44a2-a9a2-c6417d179a2d,Google Play,App review,2026-07-26,5,,"Excellent app! Blinkit delivers orders very quickly and the service is always reliable. The app is easy to use and offers a wide range of products. The items are fresh, well-packed, and delivered on time. Delivery partners are polite and professional. I also like the discounts and smooth payment options. Customer support is helpful and resolves issues quickly. Overall, Blinkit makes grocery shopping fast, easy, and convenient. Highly recommended!",https://play.google.com/store/apps/details?id=com.grofers.customerapp&reviewId=f6301479-80cc-44a2-a9a2-c6417d179a2d,2,18.13.0,en,Detailed review export,450
